00100_field1	芙蕾雅
24013_undertower	诅咒的迷宫 地下5楼|6
24014_undertower	诅咒的迷宫 地下6楼|6
24015_undertower	诅咒的迷宫 地下7楼|6
24016_undertower	诅咒的迷宫 地下8楼|6
24017_undertower	诅咒的迷宫 地下9楼|6
24018_boss	第一个难关|4
24019_undertower	诅咒的迷宫 地下11楼|6
24020_undertower	诅咒的迷宫 地下12楼|6
24021_undertower	诅咒的迷宫 地下13楼|6
24022_undertower	诅咒的迷宫 地下14楼|6
24023_undertower	诅咒的迷宫 地下15楼|6
24024_undertower	诅咒的迷宫 地下16楼|6
24025_undertower	诅咒的迷宫 地下17楼|6
24026_undertower	诅咒的迷宫 地下18楼|6
24027_undertower	诅咒的迷宫 地下19楼|6
24028_boss	第二个难关|4
24029_undertower	诅咒的迷宫 地下21楼|12
24030_undertower	诅咒的迷宫 地下22楼|12
24031_undertower	诅咒的迷宫 地下23楼|12
24032_undertower	诅咒的迷宫 地下24楼|12
24033_undertower	诅咒的迷宫 地下25楼|12
24034_undertower	诅咒的迷宫 地下26楼|12
24035_undertower	诅咒的迷宫 地下27楼|12
24036_undertower	诅咒的迷宫 地下28楼|12
24037_undertower	诅咒的迷宫 地下29楼|12
24038_boss	第三个难关|4
24039_undertower	诅咒的迷宫 地下31楼|12
24040_undertower	诅咒的迷宫 地下32楼|12
24041_undertower	诅咒的迷宫 地下33楼|12
24042_undertower	诅咒的迷宫 地下34楼|12
24043_undertower	诅咒的迷宫 地下35楼|12
24044_undertower	诅咒的迷宫 地下36楼|12
24045_undertower	诅咒的迷宫 地下37楼|12
24046_undertower	诅咒的迷宫 地下38楼|12
24047_undertower	诅咒的迷宫 地下39楼|12
24048_boss	第四个难关|4
24049_undertower	诅咒的迷宫 地下41楼|13
24050_undertower	诅咒的迷宫 地下42楼|13
24051_undertower	诅咒的迷宫 地下43楼|13
24052_undertower	诅咒的迷宫 地下44楼|13
24053_undertower	诅咒的迷宫 地下45楼|13
24054_undertower	诅咒的迷宫 地下46楼|13
24055_undertower	诅咒的迷宫 地下47楼|13
24056_undertower	诅咒的迷宫 地下48楼|13
24057_undertower	诅咒的迷宫 地下49楼|13
24058_boss	第五个难关|4
24059_undertower	诅咒的迷宫 地下51楼|13
24060_undertower	诅咒的迷宫 地下52楼|13
24061_undertower	诅咒的迷宫 地下53楼|13
24062_undertower	诅咒的迷宫 地下54楼|13
24063_undertower	诅咒的迷宫 地下55楼|13
24064_undertower	诅咒的迷宫 地下56楼|13
24065_undertower	诅咒的迷宫 地下57楼|13
24066_undertower	诅咒的迷宫 地下58楼|13
24067_undertower	诅咒的迷宫 地下59楼|13
24068_boss	第六个难关|4
24069_boss	第一个难关|4
24070_boss	第二个难关|4
24071_boss	第三个难关|4
24072_boss	第四个难关|4
24073_boss	第五个难关|4
24074_boss	第六个难关|4
33001	城镇中的BGM
33002_ex_ship	船|0
cg2_33620_boss1	米内葛尔遗迹 地下8楼
cg2_43000_kurukusu	库鲁克斯岛
cg2_43100_coral	哥拉尔镇
cg2_43110_hos	医院|0
cg2_43115_mahou	魔法店|0
cg2_43125_ginkou	银行|0
cg2_43130_pub	海豚酒吧|0
cg2_43131_tougi	地下竞技场|0
cg2_43135_pub	威尔迪酒吧|0
cg2_43140_bighome	冒险者旅馆|0
cg2_43141_bighome	冒险者旅馆 2楼|0
cg2_43145_pet	宠物商店|0
cg2_43150_heisya	哥拉尔镇 兵舍|0
cg2_43151_heisya	哥拉尔镇 兵舍2楼|0
cg2_43152_heisya	哥拉尔镇 兵舍|0
cg2_43153_heisya	哥拉尔镇 兵舍|0
cg2_43154_heisya	哥拉尔镇 兵舍2楼|0
cg2_43160_koubou	哥拉尔镇 工房|0
cg2_43165_zakka	杂货店|0
cg2_43169_room	民家|0
cg2_43170_room	民家|0
cg2_43171_room	民家|0
cg2_43172_room	民家|0
cg2_43173_room	民家|0
cg2_43174_room	生物学者之家|0
cg2_43175_yado	旅馆|0
cg2_43178_room	汉尼伯的家|0
cg2_43179_room	民家|0
cg2_43180_room	民家|0
cg2_43181_room	民家|0
cg2_43182_room	民家|0
cg2_43183_school	学校1楼|0
cg2_43184_school	学校2楼|0
cg2_43185_room	民家|0
cg2_43186_room	民家|0
cg2_43187_room	民家|0
cg2_43188_room	民家|0
cg2_43189_room	民家|0
cg2_43190_minato	哥拉尔镇 港湾管理处|0
cg2_43191_garusira1	卡希菈的豪宅|0
cg2_43192_garusira2	卡希菈的豪宅|0
cg2_43193_garusira3	卡希菈的豪宅|0
cg2_43200_white	白之宫殿
cg2_43210_white	白之宫殿|0
cg2_43211_white	谒见之间|0
cg2_43212_white	客房|0
cg2_43213_white	白之宫殿2楼|0
cg2_43214_white	客房|0
cg2_43215_white	白之宫殿 2楼|0
cg2_43216_white	女王的房间|0
cg2_43217_white	牢房|0
cg2_43218_white	宝物库|0
CG2_43219_gate	启程之间|0
cg2_43500_minoquier	米诺基亚镇
cg2_43510_hos	医院|0
cg2_43520_zakka	杂货店|0
cg2_43530_bar	水精灵酒吧|0
cg2_43540_sontyou	村长之家|0
cg2_43541_sontyou	村长之家2楼|0
cg2_43570_room	民家|0
cg2_43571_room	民家|0
cg2_43572_room	民家|0
cg2_43573_yakobu	雅各的家|0
cg2_43574_minka	席琳的秘密住所|0
cg2_43600_luminous	鲁米那斯
cg2_43610_hos	医院|0
cg2_43620_zakka	杂货店|0
cg2_43630_bar	酒场|0
cg2_43650_toudai	看守台|0
cg2_43670_room	民家|0
cg2_43671_room	民家|0
cg2_43675_choro	长老之家2楼|0
cg2_43676_choro	长老之家|0
cg2_43700_recter	雷克塔尔镇
cg2_43710_hos	医院|0
CG2_43720_zakka	杂货店|0
CG2_43721_zakka2	客房|0
CG2_43722_zakka3	私人房|0
CG2_43730_choro	镇长的家|0
CG2_43740_minka	民家|0
CG2_43741_minka2	民家|0
CG2_43742_minka3	民家|0
CG2_43743_minka4	民家|0
CG2_43750_sinden1	神殿玄关口|0
CG2_43751_sinden2	神殿1楼|0
CG2_43752_sinden3	神殿1楼|0
CG2_43753_sinden4	捐献受款处|0
CG2_43754_sinden2kai	神殿2楼|0
CG2_43755_ekken	谒见之间|0
CG2_43756_seizyo	圣女的房间|0
CG2_43757_seidou	地下圣堂|0
CG2_43760_kouwan	港湾管理栋|0
cg2_43770_imusitsu	医务室|0
cg2_43771_byositsu1	病房|0
cg2_43772_byositsu2	病房|0
cg2_43773_byositsu3	病房|0
cg2_43774_hokanko	保管库|0
cg2_43775_hokankoent	保管库入口|0
cg2_43776_turo	通路|0
cg2_43800_elf	岬之神殿
cg2_43810_elf	岬之神殿|0
CG2_43811_elf	岬之神殿地下1阶|6
CG2_43812_elf	岬之神殿地下2阶|6
CG2_43813_elf	岬之神殿地下3阶|6
CG2_43814_elf	岬之神殿地下4阶|6
CG2_43815_elf	岬之神殿最下层|6
cg2_43820_sinkai1	深海 第1层|6
cg2_43821_sinkai2	深海 第2层|6
cg2_43822_sinkai3	深海 第3层|6
cg2_43823_sinkai4	深海 第4层|6
cg2_43824_sinkai5	深海 第5层|6
cg2_43825_sinkai6	深海 第6层|6
cg2_43826_sinkai7	深海 第7层|6
cg2_43830_boss	海之神殿|6
cg2_43900_mainy	麦尼村
CG2_43910_hos	医院|0
cg2_43970_room	民家|0
cg2_43971_room	民家|0
cg2_43972_room	民家|0
cg2_43973_room	民家|0
cg2_43974_room	民家|0
cg2_43975_room	民家|0
cg2_43976_room	民家|0
cg2_43977_room	村长之家|0
cg2_43978_room	民家|0
cg2_43980_mdun1	麦尼洞窟|12
cg2_43981_mdun2	麦尼洞窟|12
cg2_43982_mdun3	麦尼洞窟 最下层|12
cg2_43983_mdun4	麦尼洞窟 最下层|12
cg2_44000_dwaf	贝尼恰斯火山 地下2楼|0
cg2_44100_komatoi	柯马特依村
cg2_45000_sennin	世外桃源
cg2_45001_sennin	世外桃源2
cg2_45002_sennin	世外桃源3
cg2_45003_sennin	世外桃源4
cg2_45004_sennin	世外桃源仙人家前
cg2_45005_sennin	仙人之家|0
cg2_45006_sennin	仙人之家|0
cg2_45007_sennin	修行场
cg2_45008_sennin	修行场
cg2_45009_sennin	修行场
cg2_45010_sennin	修行场
cg2_45011_sennin	修行场
cg2_45012_sennin	修行场
cg2_45013_coral	哥拉尔镇
cg2_45014_sennin	旅馆|0
cg2_46000_souko	仓库|13
cg2_46001_souko	仓库|12
cg2_46002_souko	仓库|13
cg2_46003_souko	仓库|12
cg2_46004_heisya	哥拉尔兵舍|0
cg2_46005_coral	哥拉尔镇|12
cg2_46006_tougi	地下竞技场|12
cg2_46007_tougi	地下竞技场|12
cg2_46008_tougi	地下竞技场|12
cg2_46009_pub	海豚酒吧|13
CG2_46010_pastcoral	过去的哥拉尔|14
CG2_46011_pastjail	过去的哥拉尔城地下牢|14
CG2_46012_heroroom	勇者里雍的房间|14
cg2_46013_mine1	伊利斯矿山 地下1楼|0
cg2_46014_mine2	伊利斯矿山入口 大坑道|0
cg2_46015_mine3	伊利斯矿山 地下1楼|0
cg2_46016_arukus1	艾儿卡丝之家|0
cg2_46017_arukus2	食堂|0
cg2_46018_arukus3	艾儿卡丝之家 2楼|0
cg2_46019_arukus4	艾儿卡丝之家 地下1楼|0
cg2_46020_arukus5	艾儿卡丝之家 地下2楼|0
cg2_46021_arukus3_2	艾儿卡丝之家 2楼|0
cg2_46022_kyaku1	客房|0
cg2_46023_kyaku2	客房|0
cg2_46024_kyaku3	客房|0
cg2_46025_kyaku4	客房|0
cg2_46026_night	夜晚的哥拉尔镇|13
cg2_46027_entrance	执政官瓦吉的公馆 玄关|0
cg2_46028_hikae	执政官瓦吉的公馆 休息室|0
cg2_46029_hiroma	大厅|0
cg2_46030_rouka	执政官瓦吉的公馆 廊下|0
cg2_46031_room1	执政官瓦吉的公馆 秘密房间|0
cg2_46032_room2	执政官瓦吉的公馆 秘密房间|0
cg2_46033_room3	执政官瓦吉的公馆 秘密房间|0
cg2_46034_room4	执政官瓦吉的公馆 秘密房间|0
cg2_46035_room5	执政官瓦吉的公馆 秘密房间|0
cg2_46036_room6	执政官瓦吉的公馆 秘密房间|0
cg2_46037_room7	执政官瓦吉的公馆 秘密房间|0
cg2_46038_school_ent	绅士淑女养成所|0
cg2_46039_mission1	训练设施 第1层|0
cg2_46040_mission2	训练设施 第2层|0
cg2_46041_mission3	训练设施 第3层|0
cg2_46042_mission4	训练设施 第4层|0
cg2_46043_mission5	训练设施 第5层|0
cg2_46044_grad	毕业之间|0
cg2_46045_ent	魔导研究塔|0
cg2_46046_auto	魔导研究塔 入口
cg2_46047_boss	魔导研究塔 培养室|0
cg2_46048_boss2	魔导研究塔 培养室|0
cg2_46049_bossato	阿鲁巴斯的研究室|0
cg2_46050_room8	执政官瓦吉的公馆 秘密房间|0
cg2_46051_senso	马杜克的船 船舱|0
cg2_46052_kanpan	马杜克的船 甲板
cg2_46053_asase	浅濑之洞窟|2
cg2_46054_island	无名岛
cg2_46055_dunent	岛之洞窟 入口|0
cg2_46056_lake	地底湖|0
cg2_46057_dunexit	岛之洞窟|0
cg2_46058_sisomae1	始祖之墓所 入口|2
cg2_46059_sisomae1	始祖之墓所 入口|2
cg2_46060_sisomae1	始祖之墓所 入口|2
cg2_46061_sisomae1	始祖之墓所 入口|2
cg2_46062_anten	　|0
cg2_46063_haka	始祖之墓|2
cg2_46064_yami	深远的黑暗|0
cg2_46065_kanpan	马杜克的船 甲板
cg2_47000_oyabin	头目假住处的入口|0
cg2_47001_oyabin	头目的房间前|0
cg2_47002_oyabin	头目的房间|0
cg2_47003_oyabin	头目的房间|0
CG2_47005_lemoor_mid	雷姆尔山～1000公尺
CG2_47006_lemoor_top	雷姆尔山顶
CG2_47007_ent	雷姆尔山 入口|3
CG2_47008_breeders	饲养师合宿所
CG2_47009_ent	伊姆尔森林 入口|0
CG2_47010_forest01	伊姆尔森林|2
CG2_47011_forest02	伊姆尔森林|2
CG2_47012_camp	扎营处|14
CG2_47013_forest03	伊姆尔森林|2
CG2_47014_forest04	伊姆尔森林|2
CG2_47015_white	尽头之间|0
CG2_47016_black	边际之间|0
CG2_47017_boss	森之墓场|2
CG2_47018_boss	森之墓场|2
cg2_47019_furia	诅咒者之间|6
cg2_47020_isi	惩戒之间|6
cg2_47021_akkas	诅咒者之间|8
cg2_47022_mizu	灾祸之间|0
cg2_47023_baros	诅咒者之间|0
cg2_47024_eda	真理之间|0
cg2_47025_meihu	冥府之道|0
cg2_47026_yado	旅馆|14
cg2_47027_yado2	旅馆|14
cg2_47028_kuro	黑之宫殿|14
cg2_47029_meifu	冥府之道|0
cg2_47030_forest10	伊姆尔森林|14
cg2_47031_forest11	伊姆尔森林|14
cg2_47032_boss	伊姆尔森林|14
cg2_47033_forest13	伊姆尔森林|14
cg2_48000_venetia	贝尼恰斯火山地下1楼|0
cg2_48001_venetia	贝尼恰斯火山地下3楼|0
cg2_48002_venetia	贝尼恰斯火山地下4楼|0
cg2_48003_venetia	贝尼恰斯火山地下5楼|0
cg2_48004_venetia	贝尼恰斯火山地下6楼|0
cg2_48005_venetia	贝尼恰斯火山地下7楼|0
cg2_48006_venetia	贝尼恰斯火山地下8楼|0
cg2_48007_venetia	贝尼恰斯火山地下9楼|8
cg2_48008_venetia	贝尼恰斯火山 地下10楼|8
cg2_48011_venetia	贝尼恰斯火山 最下层|8
cg2_48012_venetia	贝尼恰斯火山 最下层|8
cg2_48014_venetia	贝尼恰斯火山1楼|0
cg2_48015_venetia	贝尼恰斯火山|0
cg2_48016_venetia	贝尼恰斯火山2楼|0
cg2_48017_venetia	贝尼恰斯火山3楼|0
cg2_48018_venetia	贝尼恰斯火山
cg2_48019_venetia	贝尼恰斯火山4楼|0
cg2_48020_venetia	贝尼恰斯火山5楼|0
cg2_48021_venetia	贝尼恰斯火山
cg2_48022_venetia	贝尼恰斯火山6楼|0
cg2_48023_venetia	贝尼恰斯山顶上
cg2_48024_venetia	贝尼恰斯火山顶上
cg2_48025_kobeya	归途|8
cg2_48026_kobeya2	归途|8
cg2_49000_venetia	贝尼恰斯山顶上
cg2_49001_venetia	贝尼恰斯火山顶上
cg2_50000_nosfertus	诺斯菲拉特大地|2
cg2_51000_kuroent	黑之宫殿 入口|0
cg2_51001_kuro	黑之宫殿 1楼|0
cg2_51002_kuro3	黑之宫殿 中庭|0
cg2_51003_kuro4	黑之宫殿 墓场|0
cg2_51004_kuro4	黑之宫殿 2楼|0
cg2_51005_kuro5	黑之宫殿 1楼|0
cg2_51006_kuro5boss	黑之宫殿 1楼|0
cg2_51007_kurob1	黑之宫殿 地下1楼|0
cg2_51008_kurob2	黑之宫殿 地下2楼|0
cg2_51009_kurob3	黑之宫殿 地下3楼|0
cg2_51010_kurob4	黑之宫殿 地下4楼|0
cg2_51011_kurob5	黑之宫殿 地下5楼|0
cg2_51012_kurob6	黑之宫殿 地下6楼|0
cg2_51013_kurob7	黑之宫殿 地下7楼|0
cg2_51014_kurob8	黑之宫殿 地下8楼|0
cg2_51015_kurob9	黑之宫殿 地下9楼|0
cg2_51016_kurob10	黑之宫殿 地下10楼|0
cg2_51017_kurob11a	黑之宫殿 最下层|2
cg2_51018_kurob11b	黑之宫殿 最下层|2
cg2_51100_gyokuza1	宝座|2
cg2_51101_gyokuza1	宝座|2
cg2_51102_gyokuza1	宝座|2
cg2_51103_gyokuza1	宝座|2
cg2_51104_gyokuza1	宝座|15
cg2_58000_sandglass	龙之沙漏|0
cg2_58001_sandglass	龙之沙漏|0
ex_33000_minegaru	米内葛尔岛
ex_33100_siro	阿凯鲁法城|0
ex_33101_2kai	阿凯鲁法城|0
ex_33102_room1	督府执政官室|0
ex_33103_room2	客房|0
ex_33104_room3	客房|0
ex_33105_room4	贵宾室|0
ex_33106_room5	客房|0
ex_33107_room6	客房|0
ex_33108_king	谒见之间|0
ex_33110_chika	阿凯鲁法城地下|0
ex_33111_heisya	兵舍|0
ex_33112_takara	宝物库|0
ex_33113_chika	阿凯鲁法城地下|0
ex_33114_reihai	礼拜堂|0
ex_33115_chika	阿凯鲁法城地下|0
ex_33116_torishirabe 	侦讯调查室|0
ex_33117_maze        	城堡的地下迷宫|0
ex_33118_sirochika   	王族的脱逃暗道|0
ex_33119_sirochika2  	王族用脱逃暗道 西方|0
ex_33120_sirochika3  	王族用脱逃暗道 东方|0
ex_33200_akerufa	阿凯鲁法村
ex_33201_bar	马查酒吧|0
ex_33202_zaka	拉那杂货店|0
ex_33203_buki	克尔嘉武器店|0
ex_33204_bougu	那德克防具店|0
ex_33205_bank	银行|0
ex_33206_pet	莉儿的宠物商店|0
ex_33207_hosp	冒险者旅馆 1楼|0
ex_33208_kou	阿凯鲁法工房|0
ex_33209_syuri	玉兔修理店|0
ex_33210_kantei	鲁南克那鉴定店|0
ex_33211_hotel	冒险者旅馆 2楼|0
ex_33212_hosp	夏姆吉诊所|0
ex_33213_magic	比比卡片屋|0
ex_33214_kan	港湾管理处|0
ex_33215_kan	港湾管理处|0
ex_33216_kojima	小岛
ex_33217_kojima	小岛
ex_33218_kojima	小岛
ex_33219_kanri	伊尔
ex_33220_kanri	阿凯鲁法
ex_33221_tougi	地下竞技场|0
ex_33222_geki	剧场|0
ex_33223_mujin	无人洞穴|0
ex_33224_mujin	无人洞穴|0
ex_33225_mujin	无人洞穴|0
ex_33226_mujin	无人的隐藏之家|0
ex_33227_mujin	无人的隐藏之家|0
ex_33228_mujin	无人的隐藏之家|0
ex_33229_mujin	无人的隐藏之家|0
ex_33230_mujin	无人的隐藏之家|0
ex_33231_mujin	无人的隐藏之家|0
ex_33232_be-ta	酒场地下|0
ex_33233_event	101楼|0
ex_33234_ribaibu	再生花园
ex_33235_ribaibu	再生花园
ex_33236_ribaibu	再生花园|12
ex_33237_ribaibu	再生花园|12
ex_33238_ribaibu	再生花园|12
ex_33239_hokan	种子保管库|0
ex_33240_hokan	种子保管库|0
ex_33241_hokan	种子保管库|0
ex_33242_jiken	研究栋|0
ex_33243_jiken	研究栋|0
ex_33244_jiken	研究栋|0
ex_33245_jiken	研究栋|0
ex_33246_yamamomo	山桃的秘密住处|0
ex_33247_yamamomo	山桃的秘密住处|0
ex_33248_yamamomo	山桃的秘密住处|0
ex_33249_syoutai	街道旁的小路
ex_33250_syoutai	街道旁的小路
ex_33251_hanku	汉克的房间|0
ex_33252_hanku	汉克的房间|0
ex_33253_hanku	汉克的房间|0
ex_33254_machiai	休息室|0
ex_33255_daining	食堂|0
ex_33256_daining	食堂|0
ex_33257_daining	食堂|0
ex_33258_daining	食堂|0
ex_33259_daining	食堂|0
ex_33260_shiproom	葛登的房间|0
ex_33261_shiproom	杀害现场|0
ex_33262_shiproom	杀害现场|0
ex_33263_odoriba	平台|0
ex_33264_shiproom	福兰克林的房间|0
ex_33265_ship	船的最下层|0
ex_33266_shiproom	客房|0
ex_33267_shiproom	客房|0
ex_33268_shiproom	客房|0
ex_33269_shiproom	客房|0
ex_33270_shiproom	客房|0
ex_33271_shiproom	客房|0
ex_33272_shiproom	客房|0
ex_33273_shiproom	客房|0
ex_33274_shiproom	客房|0
ex_33275_shiproom	客房|0
ex_33276_shiproom	客房|0
ex_33277_shiproom	解答篇|15
ex_33278_shiproom	解答篇|15
ex_33279_shiproom	微薄的意识|20
ex_33280_ship	客房通路|0
ex_33281_ship	甲板
ex_33282_shiproom	福兰克林的房间|0
ex_33283_minka	民家|0
ex_33284_minka	民家|0
ex_33285_minka	民家|0
ex_33286_minka	民家|0
ex_33287_minka	民家|0
ex_33288_minka	民家|0
ex_33289_minka	民家|0
ex_33290_minka	民家|0
ex_33291_minka	民家|0
ex_33292_minka	民家|0
ex_33293_shiproom	解答篇|15
ex_33294_shiproom	解答篇|15
ex_33295_shiproom	解答篇|15
ex_33296_ship	解答篇|15
ex_33297_minka	民家|0
ex_33298_minegaru	米内葛尔岛
ex_33299_minka	民家|0
ex_33500_kannabera	坎那贝拉村
ex_33501_minka	民家|0
ex_33502_minka	民家|0
ex_33503_minka	民家|0
ex_33504_minka	瓦诺语学教室|0
ex_33505_minka	民家|0
ex_33506_minka	工匠达古林的家|0
ex_33507_minka	民家|0
ex_33508_minka	民家|0
ex_33509_minka	民家|0
ex_33510_chourou	村长的家|0
ex_33511_bar	卡尔彭酒吧|0
ex_33512_buki	武器店|0
ex_33513_bougu	防具店|0
ex_33514_mahou	贝德莉奴卡片屋|0
ex_33515_byouin	医院|0
ex_33516_byouin	医院|0
ex_33517_kan	港湾管理处|0
ex_33600_iseki	遗迹1楼|0
ex_33601_iseki	遗迹地下1楼|0
ex_33602_iseki	遗迹地下2楼|0
ex_33603_iseki	遗迹地下3楼|0
ex_33604_iseki	遗迹地下4楼|0
ex_33605_iseki	遗迹地下5楼|0
ex_33606_iseki	遗迹地下6楼|0
ex_33607_iseki	遗迹地下7楼|0
ex_33608_iseki	遗迹最下层|0
ex_33609_boss1	遗迹最下层|0
ex_33610_boss2	遗迹最下层|0
ex_34000_tuuro	南恰拉山第1通路|0
ex_34001_tuuro	南恰拉山第1通路|0
ex_34002_tuuro	南恰拉山第2通路|0
ex_34003_tuuro	南恰拉山第2通路|0
ex_34004_tokiwa	时波之祠
ex_34005_wadatumi	海神的祭坛|0
ex_34006_enkei	远景|0
ex_34007_enkei	吊桥|0
ex_34008_taizyu	大树 1楼|0
ex_34009_taizyu	大树 2楼|0
ex_34010_taizyu	大树 3楼|0
ex_34011_taizyu	大树 4楼|0
ex_34012_taizyu	大树 5楼|0
ex_34013_kaikyo01	海?通道|5
ex_34014_kaikyo02	海?通道|5
ex_34015_kaikyo03	海?通道|5
ex_34016_hina	大树
ex_34017_taijuchika1	大树 地下|0
ex_34018_taijuchika2	大树 最下层|2
ex_34019_ana	漆黑之穴|0
ex_34020_ana2	漆黑之穴|0
ex_34021_ana3	漆黑之穴|0
ex_34022_ana4	漆黑之穴|0
ex_34023_ana5	漆黑之穴|0
ex_34024_boss	制裁之处|0
ex_35000_isekient	地下遗迹 入口|2
ex_35001_midboss1	地下遗迹 最下层|2
ex_35002_midboss2	地下遗迹 最下层|2
ex_35003_lab	太古之研究所 入口|0
ex_35004_sakura	小樱之间|0
ex_35005_ume	小梅之间|0
ex_35006_yamabuki	山吹之间|0
ex_35007_anim	动物实验室|0
ex_35008_boss1	研究管理室|0
ex_35009_boss1	研究管理室|0
ex_35010_clear1	太古之研究所
ex_35011_clear2	太古之研究所
ex_36001_bran_mid	布朗山～1000公尺
ex_36002_bran_top	布朗山顶
ex_36003_ent	布朗山 入口|3
ex_37000_perikan1	培里坎号 甲板
ex_37001_perikan2	培里坎号 舱房|0
ex_37002_aji-ent1	海贼基地 入口|0
ex_37003_aji-ent2	海贼基地 入口|0
ex_37004_okasira1	海贼头目的房间|0
ex_37005_okasira2	海贼头目的房间|0
ex_37006_kururu	少女库鲁鲁的家|0
ex_37007_flower	花田|0
ex_37008_kohan	湖
ex_37009_jail01	海贼基地|0
ex_37010_jail02	海贼基地|0
ex_40000_sanbasi	特别船栈桥
ex_40001_sanbasi	往阿凯鲁法栈桥
ex_40002_sanbasi	往哥拉尔栈桥
ex_40003_sanbasi	往伊尔栈桥
ex_40004_sanbasi	往哥拉尔栈桥
ex_40005_sanbasi	往阿凯鲁法栈桥
ex_40006_sanbasi	往伊尔栈桥
ex_40007_sanbasi	往哥拉尔栈桥
ex_41000_ship     	艾欧奇亚号
ex_41001_ship     	艾欧奇亚号|0
ex_41002_ship     	艾欧奇亚号|0
ex_41003_shiproom 	客房A|0
ex_41004_shiproom 	客房B|0
ex_41005_shiproom 	客房C|0
ex_41006_shiproom 	客房D|0
ex_41007_shiproom 	客房E|0
ex_41008_shiproom 	客房F|0
ex_41009_ship     	德那杰斯号
ex_41010_ship     	德那杰斯号|0
ex_41011_ship     	德那杰斯号|0
ex_41012_shiproom	客房|0
ex_41013_shiproom 	船长室|0
ex_41014_ship     	德那杰斯号|0
ex_41015_ship     	德那杰斯号|0
ex_41016_ship     	波雷波雷号|0
ex_41017_shiproom 	波雷波雷号 客房|0
ex_41018_shiproom 	客房|0
ex_41019_toriton  	海神号
ex_41020_toriton  	海神号|0
ex_41021_toriton  	客房|0
ex_41022_taitania 	铁达尼号
ex_41023_taitania 	铁达尼号|0
ex_41024_taitania 	铁达尼号|0
ex_41025_taitania 	客房|0
ex_41026_taitania 	客房|0
ex_41027_toriton  	船长室|0
ex_41028_taitania 	船长室|0
ex_41029_arasi    	刮起暴风的海洋|13
ex_59000_sanbasi	港口
ex_59001_sanbasi	港口
ex_59100_ship	船上甲板|0
222_ukrum	实验
444_testfloor	TestFloor Encount用
445	445
555	测试怪物层|0
666	测试迷宫层|0
777	777
888_testfloor	怪物信件用|0
999_testfloor	999-测试层|0
ex_59000_sanbasi	港口
ex_59001_sanbasi	港口
ex_59100_ship	船上甲板|0
56562	奈尔的家|0
56563	哈丝塔的家|0
59500	盖雷布伦森林
59501	温迪尔平原
59502	梅布尔隘地
59503	布拉基姆高地
59504	布拉基姆高地
59510	法兰城遗迹
59511	？|0                            
59520	艾尔莎岛
59521	艾夏岛
59524	丘斯特村
59530	神殿　伽蓝|0                    
59531	神殿　前廊|0                    
59534	神殿　前廊|0
59535	至圣所|0                        
59536	交伙弘劦|0                      
59537	精灵之下宫|0                    
59538	冒险者旅馆|0
59539	医院|0
59541	武器工房|0
59542	画廊|0
59543	防具店|0
59544	流行商店|0
59545	“花儿开”酒吧|0
59546	福神小馆|0
59547	克罗利的店|0
59548	银行|0
59550	天鹅宠物店|0        
59551	中村蔬果店|0
59560	路路耶博士的家|0
59561	查尔博士的家|0
59562	奈尔的家|0
59563	哈丝塔的家|0
59564	路路耶博士的家|0
59570	村长的家|0                      
59571	大厅|0                 
59572	公寓|0                      
59583	葫芦旅店|0                
59600	阿陀罗的领域　玄关|34
59601	阿陀罗的领域　前厅|34
59602	阿陀罗的领域　力之回廊|34
59603	阿陀罗的领域　力之回廊|34
59604	阿陀罗的领域　技之回廊|34
59605	阿陀罗的领域　技之回廊|34
59606	阿陀罗之领域　上宫|34
59607	花萝之领域　玄关|33
59608	花萝之领域　前厅|33
59609	花萝之领域　力之回廊|33
59610	花萝之领域　力之回廊|33
59611	花萝之领域　技之回廊|33
59612	花萝之领域　技之回廊|33
59613	花萝之领域　上宫|33
59614	威雷之领域　玄关|35
59615	威雷之领域　前厅|35
59616	威雷之领域　力之回廊|35
59617	威雷之领域　力之回廊|35
59618	威雷之领域　技之回廊|35
59619	威雷之领域　技之回廊|35
59620	威雷之领域　上宫|35
59621	恩．凯之领域　玄关|32
59622	恩．凯之领域　前厅|32
59623	恩．凯之领域　力之回廊|32
59624	恩．凯之领域　力之回廊|32
59625	恩．凯之领域　技之回廊|32
59626	恩．凯之领域　技之回廊|32
59627	恩．凯之领域　上宫|32
59628	阿陀罗的领域　力之回廊|34
59629	阿陀罗的领域　力之回廊|34
59630	阿陀罗的领域　技之回廊|34
59631	阿陀罗的领域　技之回廊|34
59632	花萝之领域　力之回廊|33
59633	花萝之领域　力之回廊|33
59634	花萝之领域　技之回廊|33
59635	花萝之领域　技之回廊|33
59636	威雷之领域　力之回廊|35
59637	威雷之领域　力之回廊|35
59638	威雷之领域　技之回廊|35
59639	威雷之领域　技之回廊|35
59640	恩．凯之领域　力之回廊|32
59641	恩．凯之领域　力之回廊|32
59642	恩．凯之领域　技之回廊|32
59643	恩．凯之领域　技之回廊|32
59644	阿陀罗的领域　力之回廊|34
59645	阿陀罗的领域　力之回廊|34
59646	阿陀罗的领域　技之回廊|34
59647	阿陀罗的领域　技之回廊|34
59648	花萝之领域　力之回廊|33
59649	花萝之领域　力之回廊|33
59650	花萝之领域　技之回廊|33
59651	花萝之领域　技之回廊|33
59652	威雷之领域　力之回廊|35
59653	威雷之领域　力之回廊|35
59654	威雷之领域　技之回廊|35
